	caption	image
0	Scizor, a red insectoid Pokémon with large metallic pincers, stands in a defensive stance.	scizor.jpg
1	Mega Scizor, the powered-up form of Scizor, displays its enhanced crimson armor and enlarged, serrated pincers.	212_f2.png
2	A water color image of Scizor, a red insectoid Pokémon with black outer circles and yellow inner circles on the pincers, in a neutral stance.	Scizor.jpg
3	A digital model of Scizor, a red insectoid Pokémon with its back insect wings out, in an attacking stance.	latest.jpg
4	A shiny variant of Scizor, with a green, metallic body and crab like pincers, in a neutral stance.	p212f175s1.png
5	A high resolution sprite of a small version of Scizor, a red insectoid Pokémon with black markings on the abdomen	scizor.png
6	An image of a Scizor, with two pointed, claw like toes on each foot, from the Pokémon anime 	1200.jpg
7	An image of Scizor from the Pokémon anime with a gray building in the background	1200px-Goh_Scizor.png
8	An image of Scizor from the Pokémon anime in a battlefield with a leafy background	latest.jpg
9	A shiny Scizor, recognizable by its green metallic exterior, in a sleeping stance	gen9-so-scizor-is-gold-now-thanks-to-the-new-metallic-v0-ibjm45j1qh6a1.jpg
10	A gray trading card of a bug/steel type pokemon, Scizor, with a red metallic exterior, large pincers and outstretched insect wings	509919__23954.1692123303.jpg
11	A gray trading card of a Shiny Scizor with a white background with a pattern of yellow, hollowed stars	535149.jpg
12	A Pokémon with a reflective, red exoskeleton and wings in an attacking stance, known as Scizor	2212-Shiny-Scizor.webp
13	A shiny scizor standing in a neutral pose on the left, next to a regular scizor on the right of the screen	s-l400.jpg
14	A Mega Scizor, a stronger form of Scizor with serrated Pincers, stands in an attacking stance against a forest background with its trainer	EitJnbZXkAAvp2T-1-copy-90-1-1200x675.jpg
15	A plush of Pokémon number 212, Scizor	612JfMhfFLL._AC_UF894,1000_QL80_.jpg
16	A gray trading card of Pokémon 212 rushing towards an opponent	128-scizor-rcl.jpg
17	A still frame from an anime of a red, armored, bug/steel type pokemon running forward	9854b-16165213270825.png
18	Mega Scizor, with red pincer tops and white pincer bottoms, standing in front of a realistic, grass background	Pokemon-Go-Mega-Scizor-header.jpg
19	An enamel pin of Scizor, a red insectoid Pokémon	image_7a0cbfa2-c03c-4a70-b956-87c1e230cbf9.png
20	A Pokémon with a red, metallic exoskeleton against a patterned background of red and white squares	latest.jpg
21	Mega Scizor, with markings of a black outer circle and blue inner circle on its pincers, stands in front of a digital forest background	mega-scizor-pokemon-go.jpg
22	Scizor in a traditional Japanese hat holding two katanas in a digital bamboo forest	Scizor.600.3807683.jpg
23	A shiny Scizor standing next to a shiny Mega Scizor, both with lime green, metallic exteriors, with the Pokémon Go logo in the top left	shiny-scizor-and-shiny-mega-scizor-in-pokemon-go.jpg
24	A silver trading card with a full art of a shiny Pokémon, with markings on its pincers that are light blue external circles with a yellow inner circle	197826.jpg
25	The mega evolution form of Pokémon 212 in front a white and black background, posing with its right pincer forward	8212-Mega-Scizor.webp
26	A fanmade artwork of the evolution of Scyther when traded with a metal coat	scizor-256x256.png
27	A full body trading card with artwork of Pokémon 212 with another Scizor in the background	SV3_205_en.png
28	A pixel sprite of the red, armored bug/steel type Pokémon	212.png
29	"A Youtube thumbnail with the words ""Complete History Gon's Scizor"" in the bottom left with a picture of Scizor from the anime"	sddefault.jpg
30	Mega Scizor, a stronger version of Scizor with black, samurai like armor on the head and legs, on a black background	p212f683.png
